"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",-0.187507495802351,"Biden",19.233718798,3.8819219003,4.3463598438,17.371416158,23.5,448.04038988,4.7313470735,41.48626347,3.2973642567,48,16.494590444,21.6,78.190745182,57122,0.336,0.899,0.852,2.55,"Medium"
"yes",0.134639696586599,"Trump",20.128276312,4.2443054865,4.303214506,18.930494206,27.7,321.432754271808,4.2164460796,27.260579065,4.5568352529,33,10.437532947,23.5,79.029034433,46106,0.295,0.943,0.781,2.79,"Low"
"no",0.617910447761194,"Trump",25.470732737,5.2502755629,5.3032336147,25.676546729,23.8,136.2176229,4.3862663686,23.547400612,4.967497817,44,17.552857442,22.8,73.548461589,41561,0.089,0.738,0.697,2.49,"Low"
"yes",0.392265994544764,"Trump",13.946277151,3.4514198119,3.9416240072,15.308578318,21.1,93.205610294,3.9328851842,14.620263457,2.721368931,51,14.063848933,8.3,80.281473967,88635,0.382,0.921,0.923,2.79,"Medium"
"yes",-0.420772796322985,"Biden",21.310467602,4.4728410143,4.9091423627,18.513664294,21.7,404.78640757,6.2249948014,36.949245793,3.5518478408,53,18.200105463,27.3,79.005081332,41036,0.44,0.88,0.824,2.36,"Medium"
"no",-0.107317073170732,"Biden",31.828632646,5.7979246245,5.5119543345,27.107171385,42.8,200,5.1266586248,60.892857143,6.9318181818,35,16.789035732,41.9,75.540071402,24732,0.125,0.8,0.666,2.33,"High"
"yes",-0.709115997507344,"Biden",25.098092315,4.6066998503,4.5235945517,18.928142608,31.7,632.28407094,3.9056370868,45.062000378,4.2207320967,43,18.547576337,24.4,76.622749023,50737,0.195,0.848,0.802,2.95,"Medium"
"no",0.475707794477455,"Trump",30.911676757,5.9437103756,5.7419783153,28.028505422,22.1,473.45036055,10.496364211,51.972157773,3.9186134137,33,17.923316823,30.6,72.562091614,42928,0.1,0.692,0.469,2.51,"Medium"
"yes",-0.14327403689857,"Biden",14.250915701,3.28207782,3.9612516518,13.797273197,21.2,265.50774296,4.2691841281,24.329249941,2.9576613425,52,14.225309941,11.7,80.684108088,79622,0.474,0.921,0.916,2.64,"High"
"no",0.398777441829894,"Trump",24.732592161,4.8984292701,4.9466326861,23.228385022,35.3,325.45888323,4.7268765728,30.328878779,3.8740791775,37,19.535852425,28.3,74.529472074,41675,0.13,0.757,0.662,2.71,"Low"
"no",0.471652368519209,"Trump",27.460955679,5.0981723854,4.7532480548,23.482308007,36.1,321.432754271808,5.2825761358,33.61048123,3.157599289,36,23.807480896,31.9,74.36854576,41899,0.128,0.747,0.72,2.88,"Medium"
"yes",0.257908780639156,"Trump",14.666863397,3.4511029929,3.8449437344,15.938055991,27,51.627486753,3.4741853422,15.2265625,3.0265924881,47,10.16089072,7.4,80.475498238,88285,0.364,0.927,0.84,3.18,"Medium"
"no",0.403837953091684,"Trump",23.807982766,4.8492544472,4.8362790103,23.577842447,39.5,301.80776693,5.364049909,30.937215651,3.3800701052,41,18.664298401,32.2,74.493338588,40670,0.135,0.791,0.644,2.74,"Medium"
"yes",0.355356189533718,"Trump",16.596168257,3.8804573926,3.9856484627,16.937902423,29.2,231.98486834,4.0582693324,24.560908912,2.9278494249,47,13.858821279,12,78.94401769,79232,0.303,0.892,0.855,2.74,"Medium"
"yes",0.460996394624713,"Trump",22.36017633,4.7015209824,4.8640702062,23.217966402,41,153.15275894,5.9694283293,33.320639756,3.5860838537,44,17.694722982,24.2,75.508586522,50411,0.105,0.831,0.724,2.7,"Low"
"no",0.249346445910619,"Trump",27.719305696,5.497349594,5.1628952963,25.296731372,36.9,288.19692734,6.0405898331,56.733576642,3.9011979222,41,16.47954866,43.9,75.172800596,40482,0.141,0.828,0.606,2.6,"Medium"
"yes",0.646354587032553,"Trump",19.970749388,4.4331950188,4.8883195532,21.825729245,31.1,333.24161546,4.0852534562,22.804163956,3.2647094652,42,15.90309822,17.3,76.367404424,45986,0.152,0.807,0.753,2.4,"Low"
"yes",0.678564765872769,"Trump",15.34035254,3.7267073482,4.0383979506,17.10031135,23.8,97.083189506,4.0103914203,16.780409474,2.8327922078,51,15.948405159,12,77.104648376,69155,0.306,0.872,0.852,2.7,"Low"
"no",0.169720430107527,"Trump",25.182471073,5.0015400514,4.734432183,22.656817591,29.1,678.61171206,5.0460094473,42.261538462,3.8041594454,35,18.38001801,35.6,74.266507804,40473,0.138,0.825,0.554,2.53,"Medium"
